stratum,n,r2,rmse,mae,mape
BL_ISU_ILCC,144164,0.999228298664093,0.6841877781386615,0.30211004614830017,1.4829587
BL_Stanford_2,27619,0.9980059862136841,0.8869579177494437,0.5827107429504395,9631885.0
BL_HUST,23690,0.9943339228630066,0.5999271159806888,0.4592384696006775,0.46404237
BL_MATR,19788,0.9901676774024963,0.6450445269954572,0.4457779824733734,0.5011256
BL_SNL,16035,0.983898937702179,1.4715641738321503,0.8646047711372375,1.2677485
BL_RWTH,14843,0.9922506213188171,1.2058958373690931,0.8206154108047485,2.5948086
BL_ZN-coin,14161,0.9641895294189453,3.7911566227080136,2.7460098266601562,3.3812523
BL_Tongji,10145,0.9810870289802551,0.9028665258524049,0.6345593333244324,0.7958146
BL_SDU,8032,0.9833384156227112,1.2139842436520538,0.9123491644859314,1.046599
BL_Stanford,5516,0.9987530708312988,0.722942316294678,0.48389366269111633,4164257.8
BL_MICH,3122,0.9952197670936584,1.2489459839189905,0.8531582355499268,9611804.0
BL_CALCE,2359,0.9842214584350586,2.131110214168681,1.5141582489013672,2.7005262
BL_HNEI,2161,0.9957836866378784,1.1738154304313042,0.9019246101379395,10194706.0
BL_NA-ion,2009,0.9518043994903564,1.0427141200212136,0.7608453631401062,0.9163605
CALCE_CX2_type_1,1568,0.9861737489700317,1.7676517703062713,1.0504909753799438,1.3330455
CALCE_CX2_type_2,1425,0.8450874090194702,6.1521363432301595,3.825418710708618,5.567259
BL_XJTU,951,0.9344702959060669,1.1384303260428494,0.8165351152420044,0.8984845
BL_MICH_EXP,719,0.6641016006469727,3.755556821415354,3.2626962661743164,4.0080986
CALCE_CS2_type_2,627,0.9935973882675171,1.6163983469751897,1.2455500364303589,2.1361396
CALCE_CS2_type_1,545,0.7196693420410156,7.154172104255981,5.367894172668457,8.206229
BL_UL_PUR,503,0.9101124405860901,1.6895902192163224,1.4190869331359863,1.5813742
BL_CALB,398,0.9814350008964539,1.3953598082789405,1.0848808288574219,1.2032931
NA_PCOE,372,0.9672191143035889,2.951007871280567,2.1779284477233887,244926530.0
NA_RAND_regular_alt,60,0.9942620992660522,1.5028123716852868,1.0966130495071411,1998.3188
NA_RAND_second_life,35,0.7626094818115234,5.988079309013464,4.6005449295043945,5765.6636
NA_RAND_recommissioned,22,0.993186354637146,2.0754398982701927,1.5614079236984253,3670.7966
