stratum,n,r2,rmse,mae,mape
BL_ISU_ILCC,2399,0.9747587442398071,3.9042119927694583,3.15948486328125,72.08250427246094
BL_Stanford_2,488,0.943385899066925,4.422139405881369,3.8194406032562256,4.842837333679199
BL_HUST,388,0.2231597900390625,6.953343351557468,6.322322368621826,6.12461519241333
BL_MATR,346,0.49550479650497437,4.660372553983098,4.2229180335998535,4.642250061035156
BL_RWTH,266,0.9276429414749146,3.791410933593272,2.9926867485046387,11.649679183959961
BL_SNL,260,0.3970262408256531,9.56158602466813,5.4695868492126465,9.09557819366455
BL_ZN-coin,231,0.7465773820877075,10.390041248874825,8.345677375793457,9.99310302734375
BL_Tongji,148,0.6163116693496704,4.094883419701624,3.0490174293518066,3.745755910873413
BL_SDU,106,0.31642794609069824,7.100279907296817,5.9610595703125,6.355127811431885
BL_Stanford,86,0.9674517512321472,3.6662111143852174,3.023867130279541,3.7673816680908203
BL_MICH,45,0.7698090076446533,9.984258851045855,7.09175968170166,23.354755401611328
BL_HNEI,42,0.8577902317047119,7.2183787593088935,5.915099143981934,13.085210800170898
BL_CALCE,42,0.5144131779670715,9.474045887116624,6.954687118530273,10.743433952331543
BL_NA-ion,33,0.3041852116584778,3.955776727460372,3.016345977783203,3.711615800857544
CALCE_CX2_type_1,23,-1.3799464702606201,17.435347229344544,16.759370803833008,17.407814025878906
CALCE_CS2_type_2,16,,,,
BL_MICH_EXP,14,,,,
CALCE_CS2_type_1,14,,,,
BL_XJTU,11,,,,
CALCE_CX2_type_2,11,,,,
NA_PCOE,10,,,,
BL_UL_PUR,10,,,,
BL_CALB,9,,,,
NA_RAND_regular_alt,2,,,,
