stratum,n,r2,rmse,mae,mape
BL_ISU_ILCC,2399,0.9471358060836792,5.65013407320269,4.275603771209717,77.6011962890625
BL_Stanford_2,488,0.9076098203659058,5.649147421727214,5.041236400604248,6.767657279968262
BL_HUST,388,-0.06348741054534912,8.135682580748066,7.335634231567383,7.081690311431885
BL_MATR,346,0.42979663610458374,4.954581735396994,4.169793605804443,4.65916633605957
BL_RWTH,266,0.9042825698852539,4.360698102655684,3.4493021965026855,14.140198707580566
BL_SNL,260,0.5644057989120483,8.126840705708279,4.4729838371276855,7.535945415496826
BL_ZN-coin,231,0.6777836084365845,11.715704031225167,9.404208183288574,11.316914558410645
BL_Tongji,148,0.6503093242645264,3.9092572652650825,2.9012694358825684,3.525592088699341
BL_SDU,106,0.12848341464996338,8.01717107485284,7.006643772125244,7.63991641998291
BL_Stanford,86,0.952086865901947,4.448163611579599,3.7218124866485596,4.831754684448242
BL_MICH,45,0.8263221979141235,8.67249170808239,6.305510997772217,19.654369354248047
BL_HNEI,42,0.945683479309082,4.461089711172912,3.8543577194213867,7.3453688621521
BL_CALCE,42,0.7118468284606934,7.298165380835473,4.530844688415527,7.510500431060791
BL_NA-ion,33,-0.6285263299942017,6.05176876474017,4.487707138061523,5.598574161529541
CALCE_CX2_type_1,23,-1.2334315776824951,16.89014348729709,15.854988098144531,16.319637298583984
CALCE_CS2_type_2,16,,,,
BL_MICH_EXP,14,,,,
CALCE_CS2_type_1,14,,,,
BL_XJTU,11,,,,
CALCE_CX2_type_2,11,,,,
NA_PCOE,10,,,,
BL_UL_PUR,10,,,,
BL_CALB,9,,,,
NA_RAND_regular_alt,2,,,,
