held_out_source,n_train,n_test,dominant_chemistry,dominant_chem_pct,r2,rmse,mae,mape,fit_time_s
BL_ZN-coin,2123996,80052,Zn-ion,100.0,-18.678707122802734,92.82905471045959,90.4023208618164,113.01751,5.9
BL_RWTH,2098651,105397,NMC,100.0,-2.659738302230835,27.119477584443345,26.051366806030273,99.59077,5.5
BL_HUST,2057928,146120,LFP,100.0,-1.090233325958252,11.444156564920888,10.35476016998291,10.068117,5.5
BL_SDU,2154902,49146,NMC,100.0,0.06617581844329834,8.606848593556316,6.813851356506348,7.694243,5.7
BL_SNL,2107556,96492,LFP,67.4,0.26292747259140015,9.810068400199947,6.717606067657471,70892136.0,5.7
BL_ISU_ILCC,1009202,1194846,NMC,100.0,0.4334219694137573,16.838864667228904,13.554654121398926,22315878.0,3.7
BL_Tongji,2145010,59038,NCA,53.0,0.6923412084579468,3.58401431037396,2.9505808353424072,3.601237,5.7
BL_MATR,2064051,139997,LFP,100.0,0.8091985583305359,3.0877643055084483,1.6503788232803345,2.1243758,5.5
BL_Stanford_2,2015427,188621,NMC,100.0,0.9965936541557312,1.427088475276102,0.9201867580413818,9702094.0,5.4
BL_Stanford,2164719,39329,NMC,100.0,0.998839795589447,0.7679718793648093,0.48899388313293457,4768007.0,5.8
