held_out_source,n_train,n_test,dominant_chemistry,dominant_chem_pct,r2,rmse,mae,mape,fit_time_s
BL_HUST,2756058,146120,LFP,100.0,-2.160187005996704,14.071578016033884,12.89599609375,12.527999,7.8
BL_RWTH,2796781,105397,NMC,100.0,-0.27770256996154785,16.024009809684323,15.097265243530273,45.75035,8.2
BL_SNL,2805686,96492,LFP,67.4,0.5706205368041992,7.487512492327069,5.187796115875244,119684490.0,8.4
BL_ISU_ILCC,1707332,1194846,NMC,100.0,0.6017411351203918,14.117756024108434,9.311030387878418,16015234.0,5.6
BL_MATR,2762181,139997,LFP,100.0,0.8085241317749023,3.093216667057973,2.0587775707244873,2.4963148,7.9
SYN_IN_BLAST_LFP_Rajasthan_extreme,2782168,120010,LFP,100.0,0.9906235933303833,1.542688271827599,0.8310574889183044,1.9410548,8.2
BL_Stanford_2,2713557,188621,NMC,100.0,0.9956802129745483,1.6070735734810198,1.0176640748977661,11096395.0,7.6
SYN_IN_BLAST_LFP_Bengaluru_mild,2782168,120010,LFP,100.0,0.9982022643089294,0.43473601878796353,0.3303096890449524,0.4200519,8.2
SYN_IN_BLAST_LFP_Delhi_summer,2782168,120010,LFP,100.0,0.9985100626945496,0.5666789220672106,0.41557151079177856,0.79311395,8.3
SYN_IN_BLAST_LFP_Mumbai_monsoon,2782168,120010,LFP,100.0,0.999383270740509,0.28149811079363635,0.21654129028320312,0.29998678,8.0
