epoch,train_loss,val_loss,epoch_time_s
1,13026.972241236937,16207.376869382695,199.13
2,6562.904806484188,15463.893520744647,195.44
3,5271.773699796759,13648.7035821843,194.96
4,4558.732363185819,14071.953796756601,197.35
5,4269.542424139884,13936.141109139226,196.48
6,3959.403542165356,14165.500323014072,195.71
7,3767.996942252679,14223.768881647293,196.77
8,3532.3287532422337,14493.90740179172,196.73
9,3464.971388854769,14916.613369307091,196.59
10,3565.339467536672,13448.930601836662,198.36
11,3359.4518732536826,16401.38040156075,200.29
12,3176.20950603488,15706.352229181493,202.54
13,3273.376138221288,14316.434191530485,209.65
14,3206.9903249151644,14664.169541093157,209.2
15,3106.62312337766,14192.618717500583,209.44
16,3641.8160829982116,15377.718457919817,209.81
17,3038.361708936103,14749.721462831643,209.94
18,3157.245581062853,13812.101347457157,209.87
