epoch,train_loss,val_loss,epoch_time_s
1,17711.6249243179,20609.54971786914,228.48
2,8995.927729917164,12908.110476061964,226.22
3,7461.846376861436,12077.844318188794,226.16
4,6549.217113179372,12300.066785243856,226.06
5,5919.959072381283,14053.749975137756,225.24
6,5275.22704142959,11118.760164276835,226.11
7,4779.562071082494,11930.406424627912,225.8
8,4812.961189557293,11186.795831438521,224.94
9,4257.036036340207,10450.394851909874,225.61
10,4215.451783268392,11334.774785322561,224.87
11,4100.559156777533,10217.652928410462,225.85
12,4030.39725690268,10929.848628675822,226.08
13,3666.7495651953045,10627.373095406721,225.17
14,3597.4389752166658,11369.656064893554,225.73
15,3616.161134763736,10518.188959611269,226.12
16,3546.4611724116608,10505.450400167061,226.28
17,3452.4496190722416,10382.486001239284,230.53
18,3441.725695418504,10889.306011989234,228.34
19,3145.18676439459,10937.73535375773,227.12
