epoch,train_loss,val_loss,epoch_time_s
1,19225.569183211792,24145.231965383395,298.45
2,10287.721757616466,15718.455176330534,309.61
3,8736.198281937131,13168.652031008698,240.56
4,7925.8360592314475,13584.13525548958,226.15
5,7267.49182881501,12972.712298335327,219.34
6,6444.225039490017,12625.950402460383,215.81
7,6187.972791681597,12175.698279598957,215.73
8,5885.781682598496,11719.239445933252,216.64
9,5633.496684541649,10949.447714106136,216.59
10,5364.541631827194,11230.465254439581,217.39
11,4939.695470645916,8995.936404337433,218.1
12,4622.994453595884,9889.265373711261,219.1
13,4320.70687871964,9882.871210065297,219.32
14,4268.544210577166,10455.64540211507,219.75
15,3946.503330733774,10196.058067907117,219.84
16,3919.7435939217075,10105.119892961984,219.67
17,3782.989494177811,10650.73400051645,220.2
18,3737.361538971048,10029.898871226509,220.96
19,3526.129507194851,9989.429779329186,220.81
