epoch,train_loss,val_loss,epoch_time_s
1,18488.19706868981,18464.055440780157,221.94
2,10196.871021530713,23762.556458798084,222.87
3,8474.306898626437,14217.895163647212,223.08
4,6998.075960433414,13888.128508430158,223.52
5,5822.22654784341,14783.919469419674,223.5
6,5323.138335414244,15577.365504851141,223.03
7,4974.835920393949,12391.078168784645,223.46
8,4875.312804069502,12490.802174719485,223.31
9,4544.8070454259605,13285.139323987738,222.71
10,4627.295059753357,13400.47899988881,223.29
11,4336.417505826898,15879.49617681321,223.27
12,4279.483554628369,14749.069564669886,223.31
13,4163.795395305176,10738.720347244493,222.84
14,4182.442134584807,12020.270799115884,223.45
15,3982.7413181355496,11896.499919526372,224.21
16,3945.942933397196,12698.404000979408,223.64
17,3915.086470484869,10610.65323521839,223.29
18,3716.931234236287,10932.478503869395,223.43
19,3564.517633974006,11516.681880072043,223.24
20,3548.4820003410127,12964.42413101914,223.22
21,3465.342652722436,11635.412922949654,223.48
22,3287.248723570187,14269.867452965409,223.78
23,3273.826065269472,14147.313392888942,224.37
24,3354.4790966079854,11552.547948024257,224.2
25,3341.6691759397136,14253.717444983944,224.0
