epoch,train_loss,val_loss,epoch_time_s
1,17552.695783163126,20848.08344028225,225.35
2,9171.76897667131,14640.03343894166,227.29
3,7848.519914803857,13505.259482606256,226.49
4,6659.914559823496,12868.102244888218,227.24
5,6165.989714273654,13510.462015211691,227.53
6,5526.17810816933,12453.901146502256,226.96
7,5198.131543223194,13043.288805938848,227.21
8,4730.141340162177,14306.824704555976,233.39
9,4396.7936512048955,12881.11268469156,227.34
10,4479.679535643715,14283.246149107583,227.31
11,4195.77281114971,12350.227958766114,227.33
12,4110.64295426649,11863.73592562515,227.91
13,3948.6213496566625,11888.768388832215,227.54
14,3935.0044823704543,12124.711001308453,228.0
15,3799.54803803587,12512.27448852773,228.35
16,3883.0777232439514,12148.226723788755,228.31
17,3782.7808691235864,11622.775016899164,226.89
18,3590.7064574002197,12525.588509625792,226.73
19,3661.904710302252,12116.861562437804,226.54
20,3466.0834584113495,11200.111974294487,227.26
21,3423.4942138147157,11823.988787033708,227.63
22,3432.962986298785,13097.752462470195,227.99
23,3388.5633720886526,11396.269407604395,226.79
24,3236.7330620187463,16818.6988805306,227.13
25,3210.3387688327284,13076.398313240796,227.18
26,3107.124097554109,14094.461380477323,227.05
27,3121.599798519375,18660.850557039314,227.23
28,3235.5957455301336,13063.312209149834,227.63
