epoch,train_loss,val_loss,epoch_time_s
1,19947.889827808558,16070.883762937014,220.75
2,11277.025527258056,18509.61393098176,221.81
3,9304.33220789884,12586.56271811972,221.87
4,7734.248161759882,10783.390911751058,222.28
5,6919.36774754361,13571.985157236588,222.53
6,6433.138140803136,14135.219243347805,222.13
7,6203.092493459308,13128.941471431956,222.59
8,6018.420579980338,12143.344741454364,222.34
9,5642.9445708004105,11401.806564875194,222.54
10,5254.104146762501,10892.042814068249,222.63
11,5066.208728891059,13874.876508662903,222.89
12,5002.07306683015,18768.388388548254,222.28
