epoch,train_loss,val_loss,epoch_time_s
1,21341.87192189462,14025.796432478615,221.49
2,11911.06883379101,18263.046703774457,223.24
3,9804.568951919207,13272.134585208065,223.1
4,7985.812709549374,13675.844115459562,223.18
5,7458.57915386691,14621.297171216422,222.55
6,7720.657028717113,13385.191950727984,223.76
7,6798.840988988705,14199.483971678419,223.27
8,6475.328578538329,14599.603487072362,223.22
9,6411.243312500916,14761.380754963524,223.32
10,6531.940183413075,13625.302372106442,222.83
11,6321.004724208826,13450.508851822446,223.1
