epoch,train_loss,val_loss,epoch_time_s
1,21260.562451101632,15640.263147123518,235.76
2,9500.535418287398,15327.160341634766,239.65
3,7526.753572862923,15631.369383876816,236.52
4,5973.413830116115,16577.952722547874,236.5
5,5242.361024625119,16803.594842781877,236.09
6,5127.233353105444,18856.340549162975,235.81
7,4534.702984738863,14648.701118584282,235.54
8,4394.3945224207655,15346.164856641428,236.04
9,4150.917486655465,14863.21182165375,235.99
10,3962.3774079566356,14511.054498897052,235.93
11,3826.5093206020206,15443.02923352795,236.7
12,3756.28189516972,14736.935310144429,236.58
13,3617.885712734414,14545.348437147408,236.14
14,3450.910489681264,14576.109034704481,236.7
15,3456.2392642641526,14702.233672743301,236.43
16,3274.4357231901545,13987.144688995824,236.95
17,3238.984010417333,14640.550882830794,236.89
18,3057.141156688499,15211.565398869783,236.02
19,3658.704904300765,14850.262422000153,236.48
20,3192.371603116579,15207.429989678194,237.27
21,3072.0656340823284,14367.818691077899,236.98
22,2978.8270737183384,14797.52007058153,236.99
23,3144.935841055072,14327.29380842574,237.09
24,2972.2560781151815,14856.101191029531,237.11
