feature,mean_abs_shap
v_peak_dqdv_charge,135.00061
q_at_v_lo,49.45177
discharge_time_s,49.421993
i_mean,47.53372
capacity_Ah,41.39056
cycle_count_so_far,40.074043
charge_time_s,21.780285
capacity_roll20_std,14.922766
v_min,14.538039
i_max,11.827361
i_min,9.4808235
dqdv_peak_height_charge,9.010443
capacity_roll5_mean,8.466006
v_peak_dqdv_discharge,8.258507
nominal_Ah,7.519724
q_at_v_hi,6.7961187
capacity_roll20_mean,6.102772
v_max,5.7534056
capacity_roll5_std,5.718893
coulombic_eff,5.62631
v_mean,5.0480356
dqdv_peak_width_charge,4.579307
dqdv_peak_height_discharge,3.3007135
chemistry_LFP,3.1789985
dqdv_peak_width_discharge,1.7014549
form_factor_cylindrical_other,1.6585493
capacity_delta,1.4430948
chemistry_NCA,0.52896327
form_factor_other,0.29404646
chemistry_LCO,0.27060682
chemistry_Na-ion,0.14063552
form_factor_prismatic,0.08541395
form_factor_18650,0.08125609
chemistry_NMC,0.07308997
chemistry_other,0.014702823
form_factor_pouch,0.012011681
chemistry_Zn-ion,0.0
form_factor_21700,0.0
