feature,mean_abs_shap
v_peak_dqdv_charge,92.16699
q_at_v_lo,68.44237
discharge_time_s,42.232452
i_mean,39.39497
v_min,30.713104
coulombic_eff,19.05032
charge_time_s,18.02227
dqdv_peak_height_charge,16.384502
q_at_v_hi,13.801341
i_min,13.09064
v_max,12.4813595
nominal_Ah,9.176546
cycle_count_so_far,8.756956
i_max,7.236614
v_mean,6.16168
v_peak_dqdv_discharge,3.4626114
dqdv_peak_width_discharge,2.5275402
dqdv_peak_height_discharge,2.4978921
dqdv_peak_width_charge,1.5315574
form_factor_cylindrical_other,0.08812382
chemistry_NCA,0.007605082
chemistry_LCO,0.0
chemistry_LFP,0.0
chemistry_NMC,0.0
chemistry_Na-ion,0.0
chemistry_Zn-ion,0.0
chemistry_other,0.0
form_factor_18650,0.0
form_factor_21700,0.0
form_factor_other,0.0
form_factor_pouch,0.0
form_factor_prismatic,0.0
