feature,mean_abs_shap
i_mean,55.272266
v_min,52.598305
q_at_v_lo,42.912395
cycle_count_so_far,32.96508
discharge_time_s,27.675375
v_peak_dqdv_charge,27.22123
charge_time_s,21.724586
v_max,20.16514
v_mean,12.067944
dqdv_peak_height_charge,8.341067
i_max,8.296076
q_at_v_hi,5.8967166
chemistry_LFP,5.3687005
nominal_Ah,5.0285683
dqdv_peak_width_discharge,4.802591
dqdv_peak_width_charge,4.4255753
coulombic_eff,3.3998878
dqdv_peak_height_discharge,2.555
v_peak_dqdv_discharge,2.104802
form_factor_cylindrical_other,1.654012
i_min,1.483565
chemistry_NCA,0.56442064
form_factor_pouch,0.34093505
chemistry_NMC,0.28099015
chemistry_LCO,0.26344588
chemistry_Na-ion,0.15603882
form_factor_other,0.11639717
form_factor_21700,0.08543648
form_factor_18650,0.07492684
form_factor_prismatic,0.07127787
chemistry_other,0.0010742634
chemistry_Zn-ion,0.0
