epoch,train_rmse,val_rmse
1,702.8704170848965,433.91497305439776
2,673.0990703179423,413.12814572401874
3,646.5260795545355,392.84797689936744
4,618.9458910708447,374.5663415200289
5,593.3764468609145,356.88151048623166
6,569.1510213833003,339.99648044886385
7,545.7869381904287,327.0388377600829
8,523.5158276819601,314.53023721479616
9,503.53414373065993,303.35170108380777
10,483.87815146798414,294.5755316713553
11,466.35011298314924,286.6187116407283
12,449.0527272130245,277.220281115058
13,433.28573548197676,271.59619538138645
14,417.8161330384151,265.2604674071042
15,402.88688913366616,260.620827343304
16,390.22522775137253,253.34311952592864
17,377.84783626700835,251.69058305836037
18,366.67164807098226,248.29385217057094
19,355.08340380267555,248.26875706671524
20,343.9502002425776,249.7247687274702
21,334.1340405480915,247.05492732232833
22,324.4689032563062,248.61914567943663
23,316.35462296657545,246.77028698905556
24,308.3517706186392,245.88902052762234
25,299.92361043189067,249.3795686221888
26,293.21420996075517,248.46425802337114
27,285.7658225940751,252.42414898864902
28,279.3320752094085,252.29229870885285
29,273.4081281167414,255.7843703375822
30,267.6231889178338,260.19151387668666
31,261.39583964325317,266.7409121803977
32,256.0776495176699,268.08447613391525
33,251.8860472155617,268.09727140280415
34,247.58005352575967,268.98305452197803
35,242.57487394773597,275.09007848756266
36,237.606695314055,281.74212409350514
37,234.24877070316495,281.6458063959209
38,230.3225015057212,284.9184704970373
39,227.16115446922507,285.5656914691493
40,223.61162759150812,291.16489963369486
41,220.1658774153287,295.62136014123325
42,216.97229933669078,300.04154969161266
43,214.61697907428902,302.7790827193787
44,212.2301414199553,306.98416010290015
45,209.5234116556537,311.66170001130536
46,207.39890488913008,313.277507786105
47,205.25319363742693,316.144900582323
48,203.31086963976074,316.6564764781033
49,201.3484174922732,320.33638762948993
50,199.64071428714803,321.82648214771075
51,197.8339868080008,324.93796332415366
52,195.8547728773104,326.7730674141308
53,193.8957919494122,329.7115723392936
54,192.24731015895895,332.49104347189893
