feature,mean_abs_shap
v_min,14.69235
capacity_Ah,12.091145
v_mean,5.3258276
capacity_roll5_mean,2.5892496
nominal_Ah,2.3701437
charge_time_s,2.2378712
cycle_count_so_far,1.7984216
discharge_time_s,1.3388693
capacity_roll20_std,0.97006965
capacity_roll20_mean,0.80202633
dqdv_peak_height_charge,0.6774345
dqdv_peak_height_discharge,0.5684509
i_mean,0.44421893
i_max,0.3351931
v_max,0.26217556
q_at_v_hi,0.23071788
dqdv_peak_width_discharge,0.22680415
i_min,0.21633635
coulombic_eff,0.14612794
capacity_roll5_std,0.14089784
v_peak_dqdv_discharge,0.099092185
q_at_v_lo,0.076028295
form_factor_pouch,0.035100278
form_factor_other,0.033978894
chemistry_LFP,0.033155542
capacity_delta,0.033032782
v_peak_dqdv_charge,0.030610632
form_factor_18650,0.027483793
chemistry_LCO,0.018012095
chemistry_NCA,0.015717866
form_factor_prismatic,0.011855083
chemistry_NMC,0.011531221
dqdv_peak_width_charge,0.010910443
chemistry_Na-ion,0.003534145
form_factor_cylindrical_other,0.0017889955
chemistry_other,0.001334737
chemistry_Zn-ion,0.00081800227
