feature,mean_abs_shap
v_mean,15.339822
discharge_time_s,7.303023
cycle_count_so_far,5.7196517
v_min,5.673312
charge_time_s,4.8442364
nominal_Ah,1.7366296
chemistry_NMC,1.1091824
dqdv_peak_height_charge,1.033474
i_min,0.90566057
dqdv_peak_height_discharge,0.79015714
i_mean,0.7018304
form_factor_other,0.6278665
v_max,0.62177545
coulombic_eff,0.518926
q_at_v_hi,0.51668036
dqdv_peak_width_discharge,0.48318022
i_max,0.41508466
v_peak_dqdv_charge,0.3686929
v_peak_dqdv_discharge,0.18920173
q_at_v_lo,0.1528886
chemistry_LFP,0.13247027
chemistry_LCO,0.11783778
chemistry_NCA,0.111517414
form_factor_18650,0.109542035
dqdv_peak_width_charge,0.079750486
form_factor_pouch,0.059161887
form_factor_prismatic,0.039879534
form_factor_21700,0.028946063
chemistry_Na-ion,0.007479651
form_factor_cylindrical_other,0.005288626
chemistry_other,0.0011626545
chemistry_Zn-ion,0.0
